feature,mean_abs_shap,segment,horizon
avg_inter_attack_interval,1.1285400445072709,infra3_thr2,7d
day_of_month,0.5877773785424517,infra3_thr2,7d
type_inc_30d_sum,0.23265312759655193,infra3_thr2,7d
days_since_last_success,0.20838032825490363,infra3_thr2,7d
days_since_last_incident,0.16743512718101497,infra3_thr2,7d
succ_30d_sum,0.14562141634396125,infra3_thr2,7d
month,0.12099955435508535,infra3_thr2,7d
type_inc_7d_sum,0.09685022062533513,infra3_thr2,7d
streak_quiet_days,0.06833724330702606,infra3_thr2,7d
success_ratio_7d,0.06487650303515122,infra3_thr2,7d
inc_30d_sum,0.05658411240781499,infra3_thr2,7d
succ_7d_sum,0.05601129769352525,infra3_thr2,7d
inc_7d_sum,0.03342286710995277,infra3_thr2,7d
had_incident_prev_7d,0.027888982186726488,infra3_thr2,7d
attack_rate_trend,0.026897046903870552,infra3_thr2,7d
day_of_week,0.024228238055729726,infra3_thr2,7d
inc_3d_sum,0.01669749086815154,infra3_thr2,7d
had_incident_prev_1d,0.0067481144226600115,infra3_thr2,7d
had_incident_prev_3d,0.006050493231728471,infra3_thr2,7d
streak_active_days,0.00034412397875401723,infra3_thr2,7d
lag_inc_1d,0.0,infra3_thr2,7d
